Cell name	Sample name	Stage	CD4 T cell subsets	Cell_type	Clusters PMN	Myeloid cells cluster	Expressed genes	Mitochondrial reads percent	Ribosomal reads percent	Total count
564426	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	3045	0.36959999999999998	0.73909999999999998	8659
756945	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2405	0.58299999999999996	0.9819	6518
585688	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2500	0.86510000000000009	1.29	6589
183411	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2640	0.78800000000000003	0.95679999999999998	7107
474280	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2336	0.54759999999999998	0.89750000000000008	6574
718644	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2606	1.4797	0.94310000000000005	6150
411378	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2920	1.2077	0.62379999999999991	7535
371027	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2393	1.7073	0.71430000000000005	5740
430472	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2498	0.64980000000000004	0.49590000000000001	5848
304833	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2327	0.73370000000000002	1.0338999999999998	5997
729287	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2336	0.40489999999999998	0.90189999999999992	5433
543188	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2144	1.3093999999999999	0.75069999999999992	5728
116843	ONSET_EAE	ONSET	N/A	Lymphocytes	N/A	N/A	2210	1.1815	0.73839999999999995	5417
626401	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2291	0.96530000000000005	0.57200000000000006	5594
864533	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2218	1.1664000000000001	0.51319999999999999	6430
408786	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2058	1.9056	1.0798000000000001	4723
269072	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2060	1.4233	0.48060000000000003	5410
704538	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2121	1.0286	0.65459999999999996	5347
13553	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2097	2.1322000000000001	0.7107	5206
119620	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2423	1.0385	0.73080000000000001	5200
142031	ONSET_EAE	ONSET	N/A	Lymphocytes	N/A	N/A	2177	0.64229999999999998	0.48170000000000002	4982
131630	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2075	0.60499999999999998	0.60499999999999998	4793
81649	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2002	0.1888	0.3987	4766
653805	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2130	0.74829999999999997	1.1759999999999999	4677
212903	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1919	1.9008	0.8083999999999999	4577
257604	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1758	0.95399999999999996	0.64390000000000003	4193
553717	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1489	0.68599999999999994	0.75029999999999997	4665
634078	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1980	0.93200000000000005	0.33409999999999995	5687
504924	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	2012	2.3529	0.77729999999999999	4760
453751	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1943	0.79380000000000006	0.6351	4409
