"cell_id","cluster"
"X564426","1"
"X756945","2"
"X585688","3"
"X183411","2"
"X474280","3"
"X718644","2"
"X411378","2"
"X371027","2"
"X430472","3"
"X304833","4"
"X729287","1"
"X543188","3"
"X116843","3"
"X626401","3"
"X864533","4"
"X408786","2"
"X269072","3"
"X704538","3"
"X13553","2"
"X119620","3"
"X142031","2"
"X131630","4"
"X81649","3"
"X653805","2"
"X212903","3"
"X257604","2"
"X553717","3"
"X634078","2"
"X504924","2"
"X453751","4"
"X846196","1"
"X711918","3"
"X508816","4"
"X38747","3"
"X619572","2"
"X338409","2"
"X43422","1"
"X437402","1"
"X12447","4"
"X877576","3"
"X635263","4"
"X368750","3"
"X621037","1"
"X593270","2"
"X438164","4"
"X306977","2"
"X85402","3"
"X451711","2"
"X254277","3"
"X657505","1"
"X69952","3"
"X26693","4"
"X867044","4"
"X808381","3"
"X624847","4"
"X851649","4"
"X629154","3"
"X264261","1"
"X276298","1"
"X729720","4"
"X730315","2"
"X471063","1"
"X314963","3"
"X221822","1"
"X246861","3"
"X755446","3"
"X620607","2"
"X576938","3"
"X20774","4"
"X154558","4"
"X52203","4"
"X257700","4"
"X795061","4"
"X749509","3"
"X46444","4"
"X374585","4"
"X116787","4"
"X182898","1"
"X512587","3"
"X468657","3"
"X427143","4"
"X804231","4"
"X13663","3"
"X574730","3"
"X512981","4"
"X192563","4"
"X543123","1"
"X48604","3"
"X183794","1"
"X267519","3"
"X105845","3"
"X852142","4"
"X89812","4"
"X306197","3"
"X216738","4"
"X50847","3"
"X333132","3"
"X463689","1"
"X48316","4"
"X212750","4"
"X698036","3"
"X162389","3"
"X20060","3"
"X846211","4"
"X576224","1"
"X414507","4"
"X463698","3"
"X53046","4"
"X40183","4"
"X688955","4"
"X124251","3"
"X579211","4"
"X19343","3"
"X350952","3"
"X161388","2"
"X408638","4"
"X184372","4"
"X151544","4"
"X329330","3"
"X58763","4"
"X829703","3"
"X154087","4"
"X613637","3"
"X113037","3"
"X185639","1"
"X756459","4"
"X655338","2"
"X508417","4"
"X700987","4"
"X525108","3"
"X434895","3"
"X528662","1"
"X93697","4"
"X375440","4"
"X26701","3"
"X214240","3"
"X128875","1"
"X658883","2"
"X212403","3"
"X768556","4"
"X760943","4"
"X833630","4"
"X842594","1"
"X728081","4"
"X340892","4"
"X101764","4"
"X767862","3"
"X538144","3"
"X43380","3"
"X199228","4"
"X868228","2"
"X302656","4"
"X280109","4"
"X660076","4"
"X516107","3"
"X861639","4"
"X85740","3"
"X266144","3"
"X761561","3"
"X845500","1"
"X699637","2"
"X170137","3"
"X214558","3"
"X517760","4"
"X484109","3"
"X23103","3"
"X320247","3"
"X762770","4"
"X137389","3"
"X607360","4"
"X751610","3"
"X204315","4"
"X665301","3"
"X252862","4"
"X161806","4"
"X163377","4"
"X71549","4"
"X580098","3"
"X81080","3"
"X622975","4"
"X348279","1"
"X93226","3"
"X626202","3"
"X709117","4"
"X286841","4"
"X292777","3"
"X539403","4"
"X141083","3"
"X370772","2"
"X602263","3"
"X567497","3"
"X411636","1"
"X715901","3"
"X104941","2"
"X765083","4"
"X221610","4"
"X373981","4"
"X859971","4"
"X584059","4"
"X26527","4"
"X289602","4"
"X416262","4"
"X780207","3"
"X61960","4"
"X698677","1"
"X16205","4"
"X199131","4"
"X33693","4"
"X301033","4"
"X744009","1"
"X341693","4"
"X596186","4"
"X119867","1"
"X99995","3"
"X276199","4"
"X273258","4"
"X438531","3"
"X114134","4"
"X672962","4"
"X508847","4"
"X469327","4"
"X343003","3"
"X52626","3"
"X394522","3"
"X619392","3"
"X663299","4"
"X92416","3"
"X77530","3"
"X592631","3"
"X232821","3"
"X291133","1"
"X670522","4"
"X189085","4"
"X480806","2"
"X454709","2"
"X251160","2"
"X52030","3"
"X257283","3"
"X584594","3"
"X88158","1"
"X98628","4"
"X164221","3"
"X753401","4"
"X675427","4"
"X237246","4"
"X119283","4"
"X114294","4"
"X382487","3"
"X65422","1"
"X458795","3"
"X67512","4"
"X420169","1"
"X225030","3"
"X167625","3"
"X845918","3"
"X669063","4"
"X713611","1"
"X853004","2"
"X667845","1"
"X758627","4"
"X505065","3"
"X329159","4"
"X324734","4"
"X323264","4"
"X864729","4"
"X792166","3"
"X95898","4"
"X316466","4"
"X281119","4"
"X565798","4"
"X782716","3"
"X252690","4"
"X209981","2"
"X262504","3"
"X611133","3"
"X437221","3"
"X427790","4"
"X843605","3"
"X872079","4"
"X565807","1"
"X61688","4"
"X643703","3"
"X453662","3"
"X199459","4"
"X644335","3"
"X111532","4"
"X796391","4"
"X728296","2"
"X390376","3"
"X236767","3"
"X56955","2"
"X759136","3"
"X563851","2"
"X500495","3"
"X322713","3"
"X318754","3"
"X538436","3"
"X647571","3"
"X858286","3"
"X200143","1"
"X451598","3"
"X846775","3"
"X852547","3"
"X573601","4"
"X742282","3"
"X2096","1"
"X48710","1"
"X128540","3"
