Cell name	Sample name	Condition	Stage	General_classification	PMN clusters	Expressed genes	Mitochondrial reads percent	Ribosomal reads percent	Total count
720136	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2564	0.30549999999999999	0.16300000000000001	14728
185923	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2575	0.80549999999999999	0.13869999999999999	15145
253301	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2354	0.85929999999999995	0.1222	24555
489592	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2504	0.71860000000000002	0.14369999999999999	14611
196759	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2384	0.68230000000000002	0.17830000000000001	12898
541244	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2099	0.79070000000000007	0.15659999999999999	12774
842712	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2328	0.44010000000000005	0.1154	13860
528522	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2219	0.55770000000000008	0.17279999999999998	12731
859605	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2182	0.82199999999999995	0.1361	18369
43990	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2209	0.72230000000000005	0.13470000000000001	16336
535721	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2097	0.7349	0.18590000000000001	11294
265270	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2215	0.53739999999999999	0.1845	12468
733617	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2010	0.65800000000000003	0.105	14285
838654	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2297	0.66569999999999996	0.14610000000000001	12317
227140	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2277	0.43049999999999999	0.1137	12312
89773	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2053	0.3543	0.14710000000000001	14958
184982	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2049	0.80659999999999998	0.18010000000000001	12769
72508	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2083	0.6341	0.1018	12774
717448	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1961	0.37009999999999998	0.1144	14859
544854	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2150	0.69629999999999992	0.11739999999999999	11920
632392	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2133	0.5454	0.15579999999999999	10267
493979	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1733	0.71830000000000005	0.18379999999999999	11972
275912	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1973	0.20279999999999998	0.23479999999999998	9370
172533	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1868	0.82909999999999995	0.14510000000000001	9649
61496	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1935	1.6687000000000001	0.20860000000000001	8150
812211	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1826	0.64510000000000001	0.088000000000000009	20462
738613	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2080	0.8852000000000001	0.11900000000000001	13444
12592	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2033	0.50819999999999999	0.17880000000000001	10626
203963	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1946	0.49360000000000004	0.23039999999999999	9116
133782	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2114	0.68599999999999994	0.13500000000000001	8892
466435	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1963	0.65210000000000001	0.15390000000000001	13648
333057	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1786	0.60159999999999991	0.12340000000000001	12966
164874	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2372	0.40699999999999997	0.34129999999999999	7617
422623	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1881	0.64749999999999996	0.15460000000000002	10348
609101	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1878	0.51339999999999997	0.096699999999999994	13439
495016	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1864	0.36419999999999997	0.15610000000000002	7689
623014	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2105	0.44860000000000005	0.1709	9362
384826	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2043	0.25240000000000001	0.18029999999999999	8321
80566	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2023	0.28939999999999999	0.2412	8292
646189	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1934	0.5776	0.20319999999999999	9349
273559	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1815	0.36830000000000002	0.2087	8146
47394	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1858	0.60809999999999997	0.1363	9538
59851	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1834	0.74339999999999995	0.1696	7667
63816	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1843	0.31280000000000002	0.068699999999999997	13109
681759	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2326	0.84910000000000008	0.2092	8126
749433	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1902	0.59730000000000005	0.1217	9041
21121	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1783	0.70340000000000003	0.032500000000000001	9241
168034	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1776	0.32299999999999995	0.1077	11145
294090	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1660	0.92960000000000009	0.1328	9036
678178	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1940	0.62129999999999996	0.1208	11589
4109	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1961	0.30769999999999997	0.023099999999999999	12999
538456	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1622	0.87680000000000002	0.10660000000000001	8440
651365	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1957	0.54100000000000004	0.23670000000000002	8872
704471	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1970	0.47089999999999999	0.21820000000000001	8707
246581	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1916	0.50790000000000002	0.1651	7876
628506	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1676	0.83129999999999993	0.15029999999999999	11307
127597	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1871	0.33829999999999999	0.32479999999999998	7390
663760	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1849	0.48719999999999997	0.21789999999999998	7800
71129	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1644	1.0062	0.091499999999999998	9839
760868	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1771	0.40629999999999999	0.1129	8860
270424	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1751	0.443	0.1477	7450
747308	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1891	0.27390000000000003	0.1245	8033
535144	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1810	0.55279999999999996	0.29020000000000001	7236
