"cell_id","cluster"
"X598531","1"
"X733389","1"
"X39618","1"
"X192553","1"
"X574726","2"
"X682329","2"
"X532880","1"
"X647506","1"
"X218529","1"
"X517502","1"
"X24198","1"
"X316545","1"
"X138575","1"
"X805127","1"
"X868142","1"
"X151421","1"
"X707404","1"
"X632348","2"
"X134431","1"
"X238287","1"
"X199222","1"
"X51429","1"
"X862214","1"
"X290134","1"
"X484862","1"
"X96265","1"
"X793197","1"
"X122614","2"
"X605343","2"
"X271665","1"
"X346926","1"
"X805863","1"
"X645460","1"
"X546122","1"
"X657386","1"
"X373221","1"
"X806400","1"
"X636570","1"
"X7194","1"
"X276061","1"
"X587862","1"
"X788949","1"
"X733835","1"
"X76626","2"
"X533054","1"
"X709877","1"
"X5154","1"
"X388058","1"
"X89781","1"
"X338302","1"
"X642688","2"
"X22673","2"
"X535907","1"
"X310258","2"
"X235039","1"
"X653630","1"
"X787131","1"
"X51047","1"
"X743492","1"
"X127163","1"
"X500683","1"
"X227626","1"
"X640647","1"
"X287179","1"
"X851688","1"
"X763572","1"
"X783138","1"
"X495768","1"
"X758445","1"
"X804403","1"
"X52958","1"
"X830965","2"
"X156946","1"
"X165314","3"
"X202791","1"
"X194457","1"
"X763381","1"
"X303366","1"
"X131331","1"
"X477435","1"
"X590253","3"
"X750923","2"
"X666168","1"
"X295310","1"
"X813755","1"
"X38820","1"
"X103955","2"
"X342365","1"
"X479142","1"
"X366039","2"
"X860684","2"
"X291873","1"
"X376915","2"
"X32957","1"
"X281366","1"
"X613508","2"
"X639832","1"
"X873296","1"
"X126175","1"
"X315362","2"
"X533081","2"
"X706666","1"
"X710836","1"
"X779063","2"
"X158572","1"
"X577324","2"
"X170302","1"
"X150536","1"
"X516088","2"
"X555128","1"
"X625311","1"
"X505028","1"
"X565786","1"
"X778570","1"
"X365875","1"
"X274842","2"
"X819913","2"
"X364989","1"
"X827396","2"
"X275038","2"
"X479811","2"
"X32935","1"
"X760258","1"
"X882352","2"
"X76155","1"
"X95857","2"
"X64884","2"
"X362413","1"
"X354202","2"
"X399027","1"
"X165674","1"
"X306170","1"
"X127541","2"
"X235593","1"
"X256495","1"
"X231644","2"
"X116223","1"
"X88535","1"
"X382060","2"
"X732668","1"
"X847156","1"
"X45863","2"
"X640686","2"
"X183207","1"
"X104981","2"
"X335537","1"
"X689494","2"
"X266824","1"
"X328478","1"
"X840555","1"
"X458206","1"
"X305807","1"
"X13607","2"
"X732521","1"
"X154096","1"
"X591078","1"
"X290024","1"
"X626475","2"
